Date,Sales,Year,Month,Day,DayOfWeek,Week,Quarter,DayOfYear,IsWeekend,Lag_1,Lag_7,Lag_30,RollingMean_7,RollingMean_30,RollingStd_7,ExpandingMean,Z_Score,Anomaly,Anomaly Type
2015-02-14,576.726,2015,2,14,5,7,1,45,1,129.568,97.11200000000001,16.448,487.06714285714287,612.5462333333332,709.96103552036,593.3172580645161,-0.560220681484351,False,Normal
2015-02-15,21.36,2015,2,15,6,7,1,46,1,576.726,134.38400000000001,288.06,470.9208571428572,603.6562333333333,720.5253705455544,575.44359375,-0.8008375405882333,False,Normal
2015-02-16,9.04,2015,2,16,0,8,1,47,0,21.36,330.512,19.536,424.99628571428576,603.3063666666666,740.9224737676026,558.2798484848485,-0.8061752812928493,False,Normal
2015-02-17,54.208,2015,2,17,1,8,1,48,0,9.04,180.32,4407.1,406.98028571428574,458.2099666666667,749.348840332216,543.4542058823529,-0.7866058760861854,False,Normal
2015-02-18,37.784,2015,2,18,2,8,1,49,0,54.208,14.56,87.15799999999999,410.29800000000006,456.5641666666667,747.3706435667193,529.0064857142856,-0.7937217083372092,False,Normal
2015-02-20,95.59,2015,2,20,4,8,1,51,0,37.784,2043.4,40.544,132.03942857142857,458.39903333333336,200.58307839799895,516.9671388888888,-0.7686767863265731,False,Normal
2015-02-21,8.85,2015,2,21,5,8,1,52,1,95.59,129.568,54.83,114.794,456.86636666666675,205.9486674489513,503.23424324324327,-0.8062576003459239,False,Normal
2015-02-22,19.44,2015,2,22,6,8,1,53,1,8.85,576.726,9.94,35.181714285714285,457.18303333333336,31.180982931430172,490.5028157894737,-0.8016693962824591,False,Normal
2015-02-23,11.364,2015,2,23,0,9,1,54,0,19.44,21.36,3553.795,33.75371428571428,339.102,32.1338129790123,478.21720512820514,-0.8051683892962967,False,Normal
2015-02-24,55.672,2015,2,24,1,9,1,55,0,11.364,9.04,61.96,40.41542857142857,338.89239999999995,30.969033279784945,467.653575,-0.7859715861193382,False,Normal
2015-02-27,19.456,2015,2,27,4,9,1,58,0,55.672,54.208,149.95,35.45085714285714,334.5426,31.174294878017186,456.72192682926834,-0.801662464151674,False,Normal
2015-03-01,2203.151,2015,3,1,6,9,1,60,1,19.456,37.784,299.964,344.78899999999993,397.98216666666667,820.0527299478971,498.30357142857144,0.1444412442871789,False,Normal
2015-03-02,47.76,2015,3,2,0,10,1,61,0,2203.151,95.59,64.864,337.9561428571428,397.4120333333333,822.6702609037687,487.8258139534883,-0.7893995247926273,False,Normal
2015-03-03,1345.8919999999998,2015,3,3,1,10,1,62,0,47.76,8.85,378.594,528.9621428571428,429.6553,886.2805183883985,507.32731818181816,-0.2269732247630239,False,Normal
2015-03-04,370.452,2015,3,4,2,10,1,63,0,1345.8919999999998,19.44,2673.87,579.1067142857142,352.8747,862.2519207158873,504.2856444444444,-0.6495905780837004,False,Normal
2015-03-05,705.562,2015,3,5,3,10,1,64,0,370.452,11.364,40.08,678.2778571428571,375.0574333333333,825.1954303174542,508.6612173913044,-0.5044014313690978,False,Normal
2015-03-07,1561.062,2015,3,7,5,10,1,66,1,705.562,55.672,1097.25,893.3335714285713,390.5178333333333,832.0268482350502,531.0527234042553,-0.13374906344709467,False,Normal
2015-03-10,741.956,2015,3,10,1,11,1,69,0,1561.062,19.456,426.67,996.547857142857,401.02736666666664,745.910282245889,535.4465416666667,-0.4886334333817764,False,Normal
2015-03-11,918.314,2015,3,11,2,11,1,70,0,741.956,2203.151,3.928,812.9997142857143,431.5069,524.8321702835777,543.2601632653061,-0.41222488831808435,False,Normal
2015-03-14,2108.55,2015,3,14,5,11,1,73,1,918.314,47.76,240.5,1107.3982857142857,493.77523333333323,597.0563809595963,574.56596,0.10345458776141701,False,Normal
2015-03-15,370.78200000000004,2015,3,15,6,11,1,74,1,2108.55,1345.8919999999998,290.666,968.0968571428572,496.44576666666666,644.0429614136585,570.5701960784313,-0.6494476028862551,False,Normal
2015-03-16,471.92,2015,3,16,0,12,1,75,0,370.78200000000004,370.452,468.9,982.5922857142858,496.5464333333333,629.3236174692402,568.6730769230769,-0.6056287376765584,False,Normal
2015-03-17,3960.358,2015,3,17,1,12,1,76,0,471.92,705.562,211.64600000000002,1447.5631428571428,621.5035,1268.4141592985873,632.6671320754717,0.9057655405807142,False,Normal
2015-03-18,28106.716,2015,3,18,2,12,1,77,0,3960.358,1561.062,97.11200000000001,5239.7994285714285,1555.1569666666667,10162.704722170616,1141.4458148148149,11.36737251824571,True,High Sales
2015-03-19,590.762,2015,3,19,3,12,1,78,0,28106.716,741.956,134.38400000000001,5218.200285714286,1570.3695666666667,10174.011757608068,1131.433381818182,-0.5541394697530206,False,Normal
2015-03-21,4109.816,2015,3,21,5,12,1,80,1,590.762,918.314,330.512,5674.129142857143,1696.3463666666664,10019.543296802494,1184.6187857142857,0.9705194407617623,False,Normal
2015-03-22,464.09299999999996,2015,3,22,6,12,1,81,1,4109.816,2108.55,180.32,5439.206714285714,1705.8054666666665,10135.681932433698,1171.9779824561404,-0.6090198494050513,False,Normal
2015-03-23,945.064,2015,3,23,0,13,1,82,0,464.09299999999996,370.78200000000004,14.56,5521.247,1736.8222666666666,10090.041004255978,1168.065672413793,-0.4006352321615518,False,Normal
2015-03-24,65.38,2015,3,24,1,13,1,83,0,945.064,471.92,2043.4,5463.169857142857,1670.8882666666666,10125.057495248317,1149.3760847457627,-0.7817655157654084,False,Normal
2015-03-25,459.146,2015,3,25,2,13,1,84,0,65.38,3960.358,129.568,4962.996714285714,1681.8742,10296.693116137994,1137.8722500000001,-0.6111631775922052,False,Normal
2015-03-26,145.13,2015,3,26,3,13,1,85,0,459.146,28106.716,576.726,968.484428571428,1667.4876666666667,1415.3052240396478,1121.5977868852458,-0.7472131763828488,False,Normal
2015-03-28,1493.216,2015,3,28,5,13,1,87,1,145.13,590.762,21.36,1097.406428571428,1716.5495333333333,1416.265987116798,1127.591629032258,-0.1631438975254538,False,Normal
2015-03-29,890.841,2015,3,29,6,13,1,88,1,1493.216,4109.816,9.04,637.5528571428566,1745.9429000000002,503.7619771513531,1123.8336825396825,-0.42412779013447377,False,Normal
2015-03-30,1170.3220000000001,2015,3,30,0,14,1,89,0,890.841,464.09299999999996,54.208,738.4427142857138,1783.1467,533.0978759979598,1124.5600625,-0.30304036238554405,False,Normal
2015-03-31,1959.552,2015,3,31,1,14,1,90,0,1170.3220000000001,945.064,37.784,883.3695714285708,1847.2056333333333,707.8781730000704,1137.4060923076922,0.038899986340443636,False,Normal
2015-04-01,119.88799999999999,2015,4,1,2,14,2,91,0,1959.552,65.38,95.59,891.1564285714279,1848.0155666666667,697.6056397654654,1121.9891515151514,-0.7581494792128749,False,Normal
