Date,Prediction
2018-04-13,69.66
2018-04-14,69.66
2018-04-15,69.66
2018-04-16,69.66
2018-04-17,69.66
2018-04-20,69.66
2018-04-21,69.66
2018-04-22,69.66
2018-04-23,69.66
2018-04-24,69.66
2018-04-25,69.66
2018-04-26,69.66
2018-04-27,69.66
2018-04-28,69.66
2018-04-29,69.66
2018-04-30,69.66
2018-05-01,69.66
2018-05-02,69.66
2018-05-03,69.66
2018-05-04,69.66
2018-05-05,69.66
2018-05-06,69.66
2018-05-07,69.66
2018-05-08,69.66
2018-05-09,69.66
2018-05-11,69.66
2018-05-12,69.66
2018-05-13,69.66
2018-05-14,69.66
2018-05-15,69.66
2018-05-16,69.66
2018-05-18,69.66
2018-05-19,69.66
2018-05-20,69.66
2018-05-21,69.66
2018-05-22,69.66
2018-05-23,69.66
2018-05-25,69.66
2018-05-26,69.66
2018-05-27,69.66
2018-05-28,69.66
2018-05-29,69.66
2018-05-30,69.66
2018-06-01,69.66
2018-06-02,69.66
2018-06-03,69.66
2018-06-04,69.66
2018-06-05,69.66
2018-06-06,69.66
2018-06-08,69.66
2018-06-09,69.66
2018-06-10,69.66
2018-06-11,69.66
2018-06-12,69.66
2018-06-13,69.66
2018-06-15,69.66
2018-06-16,69.66
2018-06-17,69.66
2018-06-18,69.66
2018-06-19,69.66
2018-06-20,69.66
2018-06-21,69.66
2018-06-22,69.66
2018-06-24,69.66
2018-06-25,69.66
2018-06-26,69.66
2018-06-27,69.66
2018-06-29,69.66
2018-06-30,69.66
2018-07-01,69.66
2018-07-02,69.66
2018-07-03,69.66
2018-07-05,69.66
2018-07-06,69.66
2018-07-07,69.66
2018-07-08,69.66
2018-07-09,69.66
2018-07-10,69.66
2018-07-11,69.66
2018-07-12,69.66
2018-07-13,69.66
2018-07-14,69.66
2018-07-15,69.66
2018-07-16,69.66
2018-07-17,69.66
2018-07-18,69.66
2018-07-20,69.66
2018-07-21,69.66
2018-07-22,69.66
2018-07-23,69.66
2018-07-24,69.66
2018-07-25,69.66
2018-07-26,69.66
2018-07-27,69.66
2018-07-28,69.66
2018-07-29,69.66
2018-07-30,69.66
2018-07-31,69.66
2018-08-01,69.66
2018-08-03,69.66
2018-08-04,69.66
2018-08-05,69.66
2018-08-06,69.66
2018-08-07,69.66
2018-08-10,69.66
2018-08-11,69.66
2018-08-12,69.66
2018-08-13,69.66
2018-08-14,69.66
2018-08-15,69.66
2018-08-16,69.66
2018-08-17,69.66
2018-08-18,69.66
2018-08-19,69.66
2018-08-20,69.66
2018-08-21,69.66
2018-08-22,69.66
2018-08-23,69.66
2018-08-24,69.66
2018-08-25,69.66
2018-08-26,69.66
2018-08-27,69.66
2018-08-28,69.66
2018-08-29,69.66
2018-08-31,69.66
2018-09-01,69.66
2018-09-02,69.66
2018-09-03,69.66
2018-09-04,69.66
2018-09-05,69.66
2018-09-07,69.66
2018-09-08,69.66
2018-09-09,69.66
2018-09-10,69.66
2018-09-11,69.66
2018-09-12,69.66
2018-09-13,69.66
2018-09-14,69.66
2018-09-15,69.66
2018-09-16,69.66
2018-09-17,69.66
2018-09-18,69.66
2018-09-19,69.66
2018-09-20,69.66
2018-09-21,69.66
2018-09-22,69.66
2018-09-23,69.66
2018-09-24,69.66
2018-09-25,69.66
2018-09-26,69.66
2018-09-28,69.66
2018-09-29,69.66
2018-09-30,69.66
2018-10-01,69.66
2018-10-02,69.66
2018-10-03,69.66
2018-10-04,69.66
2018-10-05,69.66
2018-10-06,69.66
2018-10-07,69.66
2018-10-08,69.66
2018-10-09,69.66
2018-10-10,69.66
2018-10-12,69.66
2018-10-13,69.66
2018-10-14,69.66
2018-10-15,69.66
2018-10-16,69.66
2018-10-17,69.66
2018-10-19,69.66
2018-10-20,69.66
2018-10-21,69.66
2018-10-22,69.66
2018-10-23,69.66
2018-10-24,69.66
2018-10-26,69.66
2018-10-27,69.66
2018-10-28,69.66
2018-10-29,69.66
2018-10-30,69.66
2018-10-31,69.66
2018-11-01,69.66
2018-11-02,69.66
2018-11-03,69.66
2018-11-04,69.66
2018-11-05,69.66
2018-11-06,69.66
2018-11-07,69.66
2018-11-08,69.66
2018-11-09,69.66
2018-11-10,69.66
2018-11-11,69.66
2018-11-12,69.66
2018-11-13,69.66
2018-11-14,69.66
2018-11-15,69.66
2018-11-16,69.66
2018-11-17,69.66
2018-11-18,69.66
2018-11-19,69.66
2018-11-20,69.66
2018-11-21,69.66
2018-11-22,69.66
2018-11-23,69.66
2018-11-24,69.66
2018-11-25,69.66
2018-11-26,69.66
2018-11-27,69.66
2018-11-28,69.66
2018-11-29,69.66
2018-11-30,69.66
2018-12-01,69.66
2018-12-02,69.66
2018-12-03,69.66
2018-12-04,69.66
2018-12-05,69.66
2018-12-06,69.66
2018-12-07,69.66
2018-12-08,69.66
2018-12-09,69.66
2018-12-10,69.66
2018-12-11,69.66
2018-12-13,69.66
2018-12-14,69.66
2018-12-15,69.66
2018-12-16,69.66
2018-12-17,69.66
2018-12-18,69.66
2018-12-19,69.66
2018-12-20,69.66
2018-12-21,69.66
2018-12-22,69.66
2018-12-23,69.66
2018-12-24,69.66
2018-12-25,69.66
2018-12-26,69.66
2018-12-27,69.66
2018-12-28,69.66
2018-12-29,69.66
2018-12-30,69.66
