Product Name,Total_Sales,Order_Count,Avg_Order_Value,Sales_Std,Active_Days,Cluster,Segment
"""While you Were Out"" Message Book, One Form per Page",25.228,3,8.409333333333334,0.8567877994774052,3,0,Low Demand
"#10 Gummed Flap White Envelopes, 100/Box",41.3,4,10.325,4.3446867167457155,4,0,Low Demand
#10 Self-Seal White Envelopes,108.682,4,27.1705,26.88419735953943,4,0,Low Demand
"#10 White Business Envelopes,4 1/8 x 9 1/2",379.214,6,63.202333333333335,39.51409375737556,6,0,Low Demand
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,10,28.6672,15.287645533421932,10,2,Medium Demand
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,8,18.336,7.35075319755932,8,2,Medium Demand
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,2,88.144,35.61555435480403,2,0,Low Demand
#6 3/4 Gummed Flap White Envelopes,71.28,4,17.82,9.965781454557389,4,0,Low Demand
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,6,451.0133333333333,310.89563030873666,6,2,Medium Demand
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004,2,24.990000000000002,27.025621176949848,2,0,Low Demand
12 Colored Short Pencils,18.2,3,6.066666666666666,1.8261799838278079,3,0,Low Demand
12-1/2 Diameter Round Wall Clock,551.448,8,68.931,61.15502809838522,8,2,Medium Demand
14-7/8 x 11 Blue Bar Computer Printout Paper,422.752,4,105.688,11.094362772747854,4,0,Low Demand
2300 Heavy-Duty Transfer File Systems by Perma,344.724,4,86.181,30.355239921085563,4,0,Low Demand
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,4,884.31,488.6695708417566,4,0,Low Demand
24-Hour Round Wall Clock,487.512,6,81.252,56.88747292682283,6,0,Low Demand
3-ring staple pack,42.111999999999995,6,7.0186666666666655,2.4903200329810358,6,0,Low Demand
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,5,589.24,600.9092516378824,5,0,Low Demand
36X48 HARDFLOOR CHAIRMAT,369.24800000000005,6,61.54133333333334,57.08205253025391,6,0,Low Demand
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,2,7149.945,2757.6952334240996,2,1,High Demand
"3D Systems Cube Printer, 2nd Generation, White",2339.982,2,1169.991,183.84634889494,2,0,Low Demand
3M Hangers With Command Adhesive,108.03999999999999,8,13.504999999999999,8.60938856299165,7,2,Medium Demand
3M Office Air Cleaner,259.8,2,129.9,36.741268350453,2,0,Low Demand
3M Organizer Strips,83.16,7,11.879999999999999,7.304984599573089,7,2,Medium Demand
3M Polarizing Light Filter Sleeves,216.34,4,54.085,39.650443881500244,4,0,Low Demand
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,4,547.92,316.34175949437974,4,0,Low Demand
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,4,75.84,26.991653821135156,4,0,Low Demand
4009 Highlighters,8.04,1,8.04,0.0,1,0,Low Demand
4009 Highlighters by Sanford,171.14,8,21.3925,10.224251827325627,8,2,Medium Demand
50 Colored Long Pencils,138.176,5,27.635199999999998,15.713549414438482,5,0,Low Demand
"6"" Cubicle Wall Clock, Black",100.316,3,33.43866666666667,24.287971124269177,3,0,Low Demand
9-3/4 Diameter Round Wall Clock,455.07,8,56.88375,37.49655792869526,8,2,Medium Demand
"ACCOHIDE 3-Ring Binder, Blue, 1""",147.028,13,11.309846153846154,6.239668872706759,13,2,Medium Demand
ACCOHIDE Binder by Acco,65.25399999999999,4,16.313499999999998,11.881678150272657,4,0,Low Demand
APC 7 Outlet Network SurgeArrest Surge Protector,1207.2,8,150.9,106.74711730868562,8,2,Medium Demand
