Date,Prediction
2018-04-13,1055.4938
2018-04-14,963.89374
2018-04-15,940.9537
2018-04-16,818.9022
2018-04-17,1010.06976
2018-04-20,1028.9136
2018-04-21,1637.3416
2018-04-22,842.17303
2018-04-23,1644.5132
2018-04-24,1762.7815
2018-04-25,1725.3477
2018-04-26,951.42755
2018-04-27,581.40076
2018-04-28,664.7192
2018-04-29,575.7373
2018-04-30,669.954
2018-05-01,774.474
2018-05-02,838.187
2018-05-03,1072.0247
2018-05-04,1800.4894
2018-05-05,1188.559
2018-05-06,2236.3796
2018-05-07,1361.1608
2018-05-08,1997.3577
2018-05-09,977.55365
2018-05-11,1713.5935
2018-05-12,1915.3403
2018-05-13,1863.8595
2018-05-14,2540.4387
2018-05-15,1442.7097
2018-05-16,2011.0667
2018-05-18,1630.1208
2018-05-19,2088.4827
2018-05-20,2001.272
2018-05-21,2023.1028
2018-05-22,1810.1743
2018-05-23,2016.9963
2018-05-25,1959.1184
2018-05-26,1714.1538
2018-05-27,1706.4137
2018-05-28,996.19653
2018-05-29,1065.005
2018-05-30,1096.8628
2018-06-01,1022.4159
2018-06-02,907.1276
2018-06-03,1282.0726
2018-06-04,221.0067
2018-06-05,820.4569
2018-06-06,518.35645
2018-06-08,1459.309
2018-06-09,1403.2681
2018-06-10,1294.2777
2018-06-11,877.99713
2018-06-12,1332.2389
2018-06-13,1569.8015
2018-06-15,1057.3359
2018-06-16,1971.2758
2018-06-17,1833.6884
2018-06-18,2078.414
2018-06-19,2463.8154
2018-06-20,2122.1208
2018-06-21,1462.0032
2018-06-22,1776.9045
2018-06-24,1771.2056
2018-06-25,1163.9603
2018-06-26,1661.2213
2018-06-27,1479.9039
2018-06-29,1212.7124
2018-06-30,1896.4161
2018-07-01,3195.631
2018-07-02,1921.0889
2018-07-03,4129.855
2018-07-05,2249.7534
2018-07-06,3632.7285
2018-07-07,3476.198
2018-07-08,1685.0209
2018-07-09,1305.0773
2018-07-10,1167.8624
2018-07-11,1929.8102
2018-07-12,591.9579
2018-07-13,2050.1763
2018-07-14,1557.0779
2018-07-15,1150.3215
2018-07-16,801.7388
2018-07-17,2026.3927
2018-07-18,1343.9772
2018-07-20,1381.7815
2018-07-21,1811.3217
2018-07-22,1783.3756
2018-07-23,1545.6703
2018-07-24,1626.3828
2018-07-25,1428.6641
2018-07-26,1410.8909
2018-07-27,1396.0092
2018-07-28,1319.177
2018-07-29,1817.3009
2018-07-30,1314.7051
2018-07-31,1863.8857
2018-08-01,1462.638
2018-08-03,965.1746
2018-08-04,1047.1674
2018-08-05,1559.9885
2018-08-06,704.05927
2018-08-07,1707.5388
2018-08-10,902.3761
2018-08-11,999.127
2018-08-12,2401.4983
2018-08-13,1251.0225
